id_localidad;id_estacion;Dirección;Margen;Rótulo;tipoVenta;rem;horario;tipoServicio
8370;8370;AVENIDA BEIRE, 55;D;0;P;OM;L-D: 24H;L-D: 24H (A)
8371;8371;POLIGONO C/A, S/N;N;AN ENERGETICOS - OLITE;P;OM;L-D: 24H;L-D: 24H (A)
8372;8372;CARRETERA CR NA-7000, 5,3 KM. 5,3;D;PETRONOR;P;dm;L-D: 24H;L-D: 24H (P)
8373;8373;POL. COMARCA I, PARCELA D 25;D;ARGI;P;dm;"L-J: 06:00-21:00; V-S: 06:00-22:00; D: 07:00-21:00";"L-J: 06:00-21:00 (P); V: 06:00-22:00 (P); S: 06:00-22:00 (A); D: 07:00-21:00 (A)"
8374;8374;PARQUE EMPRESARIAL LA MUGA, 7;D;GM FUEL STATIONS;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8375;8375;CALLE A, 24;D;AGIP;P;OM;"L-V: 06:00-22:00; S: 07:00-22:00";"L-J: 06:00-22:00 (P); V: 06:00-22:00 (A); S: 07:00-22:00 (A)"
8376;8376;CAMINO DE LERIN. S/N;D;S. COOP. LITXARRA;P;dm;L-D: 24H;L-D: 24H (A)
8377;8377;POL.AGUSTINOS CALLE A PARCELA 3B;D;EUROCAM;R;dm;L-D: 24H;"L-V: 00:00-05:59 (D), 05:59-20:00 (A), 20:00-23:59 (D); S-D: 24H (D)"
8378;8378;POLIGONO LANDABEN, CALLE F, 2;D;AVANZA OIL PAMPLONA;P;dm;L-D: 24H;L-D: 24H (P)
8379;8379;CALLE E, 1;I;PETROPRIX;R;dm;L-D: 24H;L-D: 24H (A)
8380;8380;CL POLIGONO LANDABEN, S.N.;D;PETRONOR;P;dm;L-D: 24H;L-D: 24H (A)
8381;8381;AVENIDA GUIPUZCOA, 1;I;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8382;8382;ESQUIROZ;N;ITURSER S.L.;P;dm;L-V: 08:30-13:30 y 15:00-18:00;L-V: 08:30-13:30 (A), 15:00-18:00 (A)
8383;8383;CALLE SADAR S/N, S/N;D;REPSOL;P;dm;"L-V: 06:00-22:30; S: 06:00-22:00; D: 08:00-22:00";"L-V: 06:00-22:30 (P); S: 06:00-10:00 (A), 10:00-20:00 (P), 20:00-22:00 (A); D: 08:00-10:00 (A), 10:00-20:00 (P), 20:00-22:00 (A)"
8384;8384;AVENIDA JUAN PABLO II, 23;N;ARALAR;P;dm;L-D: 06:00-22:00;"L-S: 06:00-22:00 (A); D: 09:00-21:00 (A)"
8385;8385;CALLE CARRETERA BAODSTAIN, 2;N;AVIA;P;dm;L-D: 24H;L-D: 24H (A)
8386;8386;CL CARRETERA DE ARTICA,S.N.;I;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
8387;8387;CALLE POLIGONO AGUSTINOS,CALLE A, LOCAL 1598, ;N;EROSKI;P;dm;L-D: 24H;"L-V: 00:00-08:00 (D), 08:00-20:00 (P), 20:00-23:59 (D); S-D: 00:00-09:00 (D), 09:00-19:00 (P), 19:00-23:59 (D)"
8388;8388;CARRETERA PERALTA KM. 128;D;EROSKI;P;dm;L-D: 24H;L-D: 24H (A)
8389;8389;AVENIDA SAN SILVESTRE, S/N;N;A.N. ENERGETICOS, S.L - PERALTA;P;OM;"L-S: 06:00-22:00; D: 07:00-22:00";"L-S: 06:00-22:00 (A); D: 07:00-22:00 (A)"
8390;8390;PASEO DE LOS FUEROS, S/Nº (NACIONAL III km 24);I;AVIA;P;OM;L-D: 00:00-23:59;L-D: 24H (A)
8391;8391;CAMINO LA VENTA, ;N;AGRICOLA SAN BLAS;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8392;8392;CAMINO CEMENTERIO, S/N;N;FORRAJES DE RIBAFORADA, S.L.;P;dm;"L-S: 06:30-22:00; D: 07:00-22:00";Sin datos
8393;8393;AUTOVIA A-68 KM. 105,6;D;VALCARCE;P;dm;"L: 06:30-22:30; M-D: 06:30-14:29 y 14:30-22:30";"L: 06:30-22:30 (A); M-D: 06:30-14:29 (A), 14:30-22:30 (A)"
8394;8394;AVENIDA NUESTRA SRA DEL CARMEN, S/N;N;AN ENERGETICOS - RIBAFORADA;P;dm;L-D: 07:00-22:00;Sin datos
8395;8395;POLIGONO REPARCELACION DE LA UE-1 DEL AR-3, 3;D;AVIA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
8396;8396;CARRETERA NA-134 KM. 51,7;D;REPSOL;P;dm;L: 08:00-22:00;L: 08:00-22:00 (A)
8397;8397;CARRETERA JAVIER KM. S/N;N;AN ENERGETICOS - SANGUESA;P;dm;L-D: 24H;L-D: 24H (A)
8398;8398;PADRE RAIMUNDO DE LUMBIER, 14;D;AVIA;P;dm;L-D: 24H;L-D: 24H (A)
8399;8399;CARRETERA PITILLAS-SANTACARA NA5330 KM. 9,800;I;AVIA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8400;8400;POLIGONO INDUSTRIAL GOBELLA FASE I S/N;N;AN ENERGÉTICOS - SARTAGUDA;P;dm;L-D: 24H;L-D: 24H (A)
8401;8401;CAMINO CAMINO MENDAVIA S/N, S/N;N;AN ENERGETICOS - SESMA;P;dm;L-D: 24H;L-D: 24H (A)
8402;8402;AV PAMPLONA S/N;I;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
8403;8403;CAMINO MIRANDA S/N;N;AN ENERGETICOS - TAFALLA;P;dm;L-D: 24H;L-D: 24H (A)
8404;8404;CR N-121, 38,1;D;BP TAFALLA;P;dm;L-D: 24H;L-D: 24H (A)
8405;8405;CARRETERA ZARAGOZA, KM 33.5 KM. 33;I;AVIA;P;OM;L-D: 06:00-21:30;L-D: 06:00-21:30 (P)
8406;8406;"NA121;CTRA FRANCIA km 11,3";I;TIEBAS;P;dm;L-D: 24H;L-D: 24H (A)
8407;8407;"NA121;CTRA FRANCIA km 11,3";D;E.S. TIEBAS;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
8408;8408;POLIGONO MONTES DEL CIERZO, 67;D;VALCARCE;P;dm;L-D: 24H;L-D: 24H (A)
